host_ts,Normal_order_0,Normal_order_1,Normal_order_10,Normal_order_2,Normal_order_3,Normal_order_4,Normal_order_5,Normal_order_6,Normal_order_7,Normal_order_8,Normal_order_9
1781512979,9638,15758,0,9,290,5,2,2,1,0,0
1781512984,19404,16422,0,2,5,3,2,2,1,0,0
1781512989,9733,14075,0,529,361,52,4,2,1,0,0
1781512994,13643,14933,0,1537,922,161,27,5,2,0,0
1781512999,6613,13148,0,176,35,0,0,0,0,0,0
1781513004,6216,12993,0,1084,483,22,3,0,0,0,0
1781513009,4951,11940,0,28,77,0,0,0,0,0,0
1781513014,16155,12192,0,6,1,0,0,0,0,0,0
1781513019,12743,12074,0,7430,493,29,5,0,0,0,0
1781513024,3020,16704,0,1261,201,114,10,7,0,0,0
1781513029,2477,13613,0,4550,698,24,3,0,0,0,0
1781513034,4984,15055,0,2705,296,12,0,0,0,0,0
